0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
10 -10 -1
2.46 -4.7567 -1
10 -10 -1
8.6346 -10 1
10 10 -1
-10 -10 1
-8.9518 10 -1
-10 10 1
-10 10 -0.038364
10 10 -1
-10 10 1
-10 10 0.19506
10 10 1
-7.6284 -10 -1
-10 -10 1
10 -10 1
-10 10 -1
1.1062 0.48823 -1
-10 10 -0.0937
10 10 1
10 -10 1
10 -10 -1
-10 -10 -1
-2.4934 -10 0.19528
-0.4434 -10 1
10 -10 -1
2.3868 -4.8173 -1
10 -10 -1
8.2152 -10 1
10 10 -1
-10 -10 1
-8.6512 10 -1
-10 10 1
-10 10 -0.032914
10 10 -1
-10 10 1
-10 10 0.16645
10 10 1
-7.2815 -10 -1
-10 -10 1
10 -10 1
-10 10 -1
1.0789 0.39338 -1
-10 10 -0.08506
10 10 1
10 -10 1
10 -10 -1
-10 -10 -1
-2.3679 -10 0.18761
-0.29768 -10 1
10 -10 -1
2.3202 -4.8781 -1
10 -10 -1
7.8173 -10 1
10 10 -1
-10 -10 1
-8.3649 10 -1
-10 10 1
-10 10 -0.02771
10 10 -1
-10 10 1
-10 10 0.13922
10 10 1
-6.9515 -10 -1
-10 -10 1
10 -10 1
-10 10 -1
1.0532 0.30044 -1
-10 10 -0.076832
10 10 1
10 -10 1
10 -10 -1
-10 -10 -1
-2.2458 -10 0.1802
-0.16535 -10 1
10 -10 -1
2.2596 -4.939 -1
10 -10 -1
7.4397 -10 1
10 10 -1
-10 -10 1
-8.0922 10 -1
-10 10 1
-10 10 -0.02274
10 10 -1
-10 10 1
-10 10 0.11332
10 10 1
-6.6375 -10 -1
-10 -10 1
10 -10 1
-10 10 -1
1.029 0.20936 -1
-10 10 -0.068997
10 10 1
10 -10 1
10 -10 -1
-10 -10 -1
-2.1271 -10 0.17303
-0.04529 -10 1
10 -10 -1
2.2044 -4.9999 -1
10 -10 -1
7.0814 -10 1
10 9.7381 -1
