2.1436 116.91 572.8 87.999 9
2.1406 116.91 572.79 87.757 9
2.1554 116.91 572.79 87.513 9.0002
2.1875 116.9 572.79 87.268 9.0004
2.2363 116.89 572.79 87.022 9.0008
2.3007 116.89 572.79 86.775 9.0012
2.3792 116.88 572.79 86.526 9.0017
2.4707 116.86 572.79 86.277 9.0023
2.5737 116.85 572.79 86.026 9.003
2.6868 116.83 572.79 85.774 9.0038
2.8088 116.82 572.79 85.522 9.0046
2.9386 116.8 572.78 85.268 9.0056
3.0751 116.78 572.78 85.014 9.0066
3.2175 116.75 572.78 84.764 9.0077
3.3648 116.73 572.78 84.517 9.0088
3.5165 116.7 572.78 84.273 9.0101
3.672 116.68 572.78 84.033 9.0114
3.8308 116.65 572.77 83.795 9.0128
3.9924 116.62 572.77 83.556 9.0142
4.1563 116.58 572.77 83.317 9.0157
4.3224 116.55 572.77 83.077 9.0173
4.4904 116.51 572.77 82.837 9.0189
4.66 116.48 572.76 82.597 9.0206
4.831 116.44 572.76 82.356 9.0224
5.0034 116.39 572.76 82.114 9.0242
5.1769 116.35 572.76 81.872 9.026
5.3514 116.31 572.75 81.629 9.0279
5.5269 116.26 572.75 81.386 9.0299
5.7032 116.21 572.75 81.142 9.0319
5.8803 116.16 572.75 80.898 9.034
6.058 116.11 572.74 80.653 9.0361
6.2364 116.06 572.74 80.407 9.0383
6.4153 116 572.74 80.163 9.0405
6.5945 115.94 572.73 79.921 9.0427
6.7741 115.89 572.73 79.682 9.045
6.9536 115.83 572.73 79.442 9.0473
7.1332 115.76 572.73 79.2 9.0497
7.3129 115.7 572.72 78.957 9.0521
7.4924 115.64 572.72 78.712 9.0545
7.6717 115.57 572.71 78.461 9.0569
7.8509 115.5 572.71 78.205 9.0594
8.0297 115.43 572.71 77.947 9.062
8.2083 115.36 572.7 77.687 9.0645
8.3865 115.28 572.7 77.424 9.0671
8.5645 115.21 572.7 77.159 9.0697
8.7421 115.13 572.69 76.889 9.0723
8.9193 115.05 572.69 76.614 9.0749
9.0961 114.97 572.68 76.333 9.0776
9.2724 114.89 572.68 76.046 9.0803
9.448 114.81 572.67 75.745 9.083
9.6225 114.72 572.67 75.449 9.0857
9.7974 114.63 572.67 75.162 9.0884
9.9716 114.54 572.66 74.871 9.0912
10.145 114.45 572.66 74.577 9.0939
10.318 114.36 572.65 74.28 9.0967
10.49 114.27 572.65 73.981 9.0995
10.662 114.17 572.64 73.679 9.1023
10.833 114.07 572.64 73.376 9.1051
11.004 113.98 572.63 73.071 9.1079
11.174 113.88 572.63 72.766 9.1107
11.344 113.77 572.62 72.462 9.1135
11.513 113.67 572.61 72.159 9.1163
11.681 113.56 572.61 71.848 9.1192
11.849 113.46 572.6 71.53 9.122
12.016 113.35 572.6 71.213 9.1248
12.183 113.24 572.59 70.897 9.1276
12.35 113.13 572.58 70.557 9.1304
12.516 113.01 572.58 70.219 9.1332
12.682 112.9 572.57 69.883 9.1361
12.848 112.78 572.56 69.55 9.1388
13.013 112.66 572.56 69.218 9.1416
13.178 112.54 572.55 68.89 9.1444
13.342 112.42 572.54 68.556 9.1472
13.507 112.3 572.54 68.225 9.15
13.671 112.17 572.53 67.897 9.1527
13.834 112.05 572.52 67.571 9.1555
13.998 111.92 572.51 67.249 9.1582
14.161 111.79 572.51 66.929 9.1609
14.324 111.66 572.5 66.613 9.1636
14.488 111.53 572.49 66.299 9.1663
14.65 111.39 572.48 65.989 9.1689
14.813 111.26 572.47 65.683 9.1716
14.975 111.12 572.47 65.379 9.1742
15.137 110.98 572.46 65.077 9.1768
15.298 110.84 572.45 64.777 9.1794
15.459 110.7 572.44 64.479 9.182
15.62 110.55 572.43 64.155 9.1845
15.78 110.41 572.42 63.834 9.187
15.94 110.26 572.41 63.515 9.1895
16.1 110.11 572.4 63.199 9.192
16.259 109.96 572.39 62.885 9.1945
16.418 109.81 572.38 62.574 9.1969
16.577 109.66 572.37 62.265 9.1993
16.735 109.5 572.36 61.959 9.2017
16.894 109.35 572.35 61.654 9.2041
17.051 109.19 572.34 61.343 9.2064
17.209 109.03 572.33 61.034 9.2088
17.366 108.87 572.32 60.723 9.2111
17.523 108.71 572.31 60.421 9.2134
17.679 108.54 572.3 60.121 9.2157
17.835 108.38 572.29 59.812 9.218
17.99 108.21 572.27 59.506 9.2202
18.145 108.04 572.26 59.203 9.2225
18.3 107.87 572.25 58.909 9.2248
18.455 107.7 572.24 58.592 9.2271
18.609 107.53 572.23 58.278 9.2293
18.764 107.35 572.21 57.968 9.2316
18.918 107.18 572.2 57.675 9.2339
19.071 107 572.19 57.385 9.2362
19.223 106.82 572.18 57.083 9.2385
19.375 106.64 572.16 56.782 9.2409
19.526 106.46 572.15 56.483 9.2433
19.678 106.27 572.14 56.186 9.2457
19.829 106.09 572.12 55.89 9.2481
19.98 105.9 572.11 55.597 9.2506
20.131 105.71 572.1 55.315 9.253
20.282 105.52 572.08 55.035 9.2555
20.433 105.33 572.07 54.757 9.2581
20.584 105.14 572.05 54.478 9.2606
20.735 104.94 572.04 54.203 9.2632
20.885 104.75 572.02 53.914 9.2658
21.034 104.55 572.01 53.624 9.2684
21.182 104.35 571.99 53.351 9.271
21.33 104.15 571.98 53.081 9.2737
21.478 103.95 571.96 52.81 9.2763
21.625 103.75 571.94 52.538 9.279
21.773 103.54 571.93 52.248 9.2818
21.92 103.34 571.91 51.959 9.2845
22.067 103.13 571.9 51.669 9.2873
22.214 102.92 571.88 51.38 9.2901
22.361 102.71 571.86 51.091 9.2929
22.507 102.5 571.85 50.802 9.2957
